year,Beat,priority,avg_response_time
2009,99,1,6.487857142857144
2009,99,2,21.7625641025641
2009,99,3 & 4,22.315624999999997
2009,99,5+,15.29375
2009,B1,1,9.936646706586826
2009,B1,2,16.06661721068249
2009,B1,3 & 4,22.882918719211826
2009,B1,5+,23.656842105263152
2009,B2,1,10.415544303797464
2009,B2,2,16.45213154689403
2009,B2,3 & 4,23.120668756530822
2009,B2,5+,21.825681818181813
2009,B3,1,8.99495114006514
2009,B3,2,14.376596091205213
2009,B3,3 & 4,23.79063613231553
2009,B3,5+,21.385495049504964
2009,C1,1,7.063612565445027
2009,C1,2,11.25094736842105
2009,C1,3 & 4,20.154618902439
2009,C1,5+,23.25834586466166
2009,C2,1,7.472628571428573
2009,C2,2,13.128860398860406
2009,C2,3 & 4,21.657237479806135
2009,C2,5+,22.688787878787885
2009,C3,1,6.867456896551722
2009,C3,2,12.12517117117117
2009,C3,3 & 4,20.648892988929884
2009,C3,5+,20.55119565217391
2009,CDD,2,30.77
2009,CDD,3 & 4,10.67
2009,COMM,5+,11.84
2009,D1,1,7.809075829383886
2009,D1,2,13.951162540365987
2009,D1,3 & 4,21.175629921259887
2009,D1,5+,22.331818181818175
2009,D2,1,7.10383561643836
2009,D2,2,12.576341085271318
2009,D2,3 & 4,20.897088068181805
2009,D2,5+,21.486932270916306
2009,D3,1,8.388901098901098
2009,D3,2,13.900756972111541
2009,D3,3 & 4,20.638138801261835
2009,D3,5+,22.137405405405403
2009,E,2,32.71142857142858
2009,E,3 & 4,49.93
2009,E1,1,6.251714285714285
2009,E1,2,10.773791946308732
2009,E1,3 & 4,19.55956803455725
2009,E1,5+,21.245233644859805
2009,E2,1,4.9136086956521705
2009,E2,2,11.410898305084753
2009,E2,3 & 4,17.83884559884558
2009,E2,5+,22.059016393442633
2009,E3,1,7.548990825688081
2009,E3,2,13.37511661807581
2009,E3,3 & 4,21.059612518628928
2009,E3,5+,19.757754237288133
2009,F1,1,8.624
2009,F1,2,15.065055292259082
2009,F1,3 & 4,22.465060422960732
2009,F1,5+,20.951929824561404
2009,F2,1,8.721153846153847
2009,F2,2,13.062668213457073
2009,F2,3 & 4,20.436881091617938
2009,F2,5+,22.221323529411762
2009,F3,1,9.450608974358975
2009,F3,2,15.829043824701195
2009,F3,3 & 4,22.650357751277692
2009,F3,5+,23.80410714285714
2009,G1,1,6.829821428571431
2009,G1,2,12.62144254278728
2009,G1,3 & 4,20.045346358792195
2009,G1,5+,18.353243243243234
2009,G2,1,6.63980056980057
2009,G2,2,12.286759410801972
2009,G2,3 & 4,19.495361653272088
2009,G2,5+,20.963473684210527
2009,G3,1,7.5103750000000025
2009,G3,2,12.689433551198267
2009,G3,3 & 4,19.256735751295356
2009,G3,5+,19.60189189189189
2009,HS,1,15.08
2009,INV,1,7.206666666666666
2009,INV,2,30.43375
2009,INV,3 & 4,23.393333333333334
2009,INV,5+,10.95
2009,J1,1,8.708020833333338
2009,J1,2,15.840257826887655
2009,J1,3 & 4,22.823711180124224
2009,J1,5+,23.130465116279062
2009,J2,1,11.11536585365854
2009,J2,2,15.757916666666675
2009,J2,3 & 4,24.51184767277857
2009,J2,5+,22.880375000000015
2009,J3,1,9.364513618677046
2009,J3,2,15.518647342995187
2009,J3,3 & 4,23.97623310810808
2009,J3,5+,23.173496240601498
2009,K1,1,7.545789473684212
2009,K1,2,14.30362017804154
2009,K1,3 & 4,21.836157635467995
2009,K1,5+,24.05821052631578
2009,K2,1,7.6316550116550195
2009,K2,2,13.698454935622324
2009,K2,3 & 4,21.012646566164157
2009,K2,5+,21.53806949806949
2009,K3,1,6.848087167070215
2009,K3,2,14.261473565804272
2009,K3,3 & 4,18.82469565217393
2009,K3,5+,22.14373831775701
2009,L1,1,9.115059880239528
2009,L1,2,13.864557926829285
2009,L1,3 & 4,21.09779639175256
2009,L1,5+,25.237849462365592
2009,L2,1,8.749295302013426
2009,L2,2,13.752727272727284
2009,L2,3 & 4,21.391084337349398
2009,L2,5+,23.250419161676632
2009,L3,1,7.482318339100343
2009,L3,2,13.793237288135591
2009,L3,3 & 4,20.319447174447173
2009,L3,5+,24.126796875
2009,M1,1,8.099144736842097
2009,M1,2,15.24380357142859
2009,M1,3 & 4,21.8004964539007
2009,M1,5+,21.03130718954248
2009,M2,1,7.88559322033898
2009,M2,2,14.119005059021932
2009,M2,3 & 4,20.521284916201104
2009,M2,5+,20.24851063829788
2009,M3,1,6.573827586206896
2009,M3,2,13.366941747572808
2009,M3,3 & 4,19.426614481408983
2009,M3,5+,21.326714285714292
2009,N,1,10.043333333333335
2009,N,2,32.95
2009,N,3 & 4,20.33
2009,N,5+,29.13
2009,N1,1,11.302274678111583
2009,N1,2,16.341503579952278
2009,N1,3 & 4,26.272758037225064
2009,N1,5+,22.557018633540363
2009,N2,1,9.380182481751824
2009,N2,2,15.875864406779677
2009,N2,3 & 4,24.182857142857163
2009,N2,5+,17.87048192771084
2009,N3,1,8.608446601941749
2009,N3,2,14.272105263157894
2009,N3,3 & 4,22.684194857916115
2009,N3,5+,23.18820754716982
2009,O1,1,9.45116129032258
2009,O1,2,15.849162303664938
2009,O1,3 & 4,21.850375000000014
2009,O1,5+,21.809919354838712
2009,O2,1,9.12358778625954
2009,O2,2,15.555521628498731
2009,O2,3 & 4,19.80790560471975
2009,O2,5+,26.402926829268292
2009,O3,1,8.846058823529413
2009,O3,2,14.56613832853027
2009,O3,3 & 4,20.095623471882647
2009,O3,5+,17.97925
2009,Q1,1,10.93603448275862
2009,Q1,2,13.207928176795578
2009,Q1,3 & 4,21.663083573487025
2009,Q1,5+,23.99623287671232
2009,Q2,1,9.707132075471701
2009,Q2,2,13.17180672268908
2009,Q2,3 & 4,22.5893179538616
2009,Q2,5+,22.702009803921566
2009,Q3,1,8.019610389610392
2009,Q3,2,11.861661721068247
2009,Q3,3 & 4,20.41561497326204
2009,Q3,5+,20.961317567567555
2009,R1,1,8.755976744186043
2009,R1,2,13.84786982248521
2009,R1,3 & 4,21.795435684647305
2009,R1,5+,21.80496774193547
2009,R2,1,10.149327956989247
2009,R2,2,14.394247787610619
2009,R2,3 & 4,21.463937106918245
2009,R2,5+,21.346666666666675
2009,R3,1,8.009069212410491
2009,R3,2,13.917175368139228
2009,R3,3 & 4,21.417015706806268
2009,R3,5+,20.384112903225805
2009,S,1,24.01
2009,S,2,30.383333333333336
2009,S,3 & 4,37.30428571428571
2009,S1,1,9.081439024390244
2009,S1,2,14.167713248638844
2009,S1,3 & 4,21.766785714285714
2009,S1,5+,21.48465909090909
2009,S2,1,6.66350515463917
2009,S2,2,12.37558461538461
2009,S2,3 & 4,21.235100942126504
2009,S2,5+,23.993882352941178
2009,S3,1,9.111602067183464
2009,S3,2,13.240815384615368
2009,S3,3 & 4,21.66052197802195
2009,S3,5+,18.576486486486488
2009,SS,3 & 4,22.27
2009,TDD,5+,14.63
2009,U1,1,7.36191428571428
2009,U1,2,12.14918393782383
2009,U1,3 & 4,19.947637669592975
2009,U1,5+,22.500093896713608
2009,U2,1,7.0624671052631545
2009,U2,2,12.207616892911021
2009,U2,3 & 4,20.764969097651427
2009,U2,5+,20.322602739726012
2009,U3,1,10.196779661016945
2009,U3,2,15.34191287878787
2009,U3,3 & 4,22.987911065149945
2009,U3,5+,21.737859922179
2009,W1,1,9.792052980132453
2009,W1,2,15.098676207513398
2009,W1,3 & 4,23.008450899031804
2009,W1,5+,21.66648854961832
2009,W2,1,9.23635738831615
2009,W2,2,13.330496453900716
2009,W2,3 & 4,21.86701434159061
2009,W2,5+,24.309328358208955
2009,W3,1,8.958870431893693
2009,W3,2,13.44224742268041
2009,W3,3 & 4,23.66397653194265
2009,W3,5+,22.027674418604654
2010,99,1,7.29102564102564
2010,99,2,19.00228571428571
2010,99,3 & 4,25.370000000000008
2010,99,5+,5.275
2010,B1,1,10.40450184501845
2010,B1,2,15.575165114309923
2010,B1,3 & 4,22.611498305084744
2010,B1,5+,16.651287878787887
2010,B2,1,9.205008726003483
2010,B2,2,14.436499282639899
2010,B2,3 & 4,22.513210104744275
2010,B2,5+,17.486329479768774
2010,B3,1,9.462788844621508
2010,B3,2,14.838330039525692
2010,B3,3 & 4,21.28131598513014
2010,B3,5+,16.918657534246577
2010,C1,1,6.995722070844687
2010,C1,2,10.366415362731153
2010,C1,3 & 4,19.149343664539654
2010,C1,5+,17.395277777777785
2010,C2,1,7.376419753086414
2010,C2,2,13.364022617124382
2010,C2,3 & 4,19.496257035647275
2010,C2,5+,20.80924369747899
2010,C3,1,6.2901603206412755
2010,C3,2,11.465430327868845
2010,C3,3 & 4,19.735192901234598
2010,C3,5+,18.805392156862744
2010,CC,3 & 4,1.07
2010,CDD,1,12.06
2010,CDD,2,18.22666666666667
2010,CDD,5+,41.35
2010,COMM,5+,26.433333333333334
2010,D1,1,6.844886515353807
2010,D1,2,13.099827008928585
2010,D1,3 & 4,20.820108621860157
2010,D1,5+,18.16295404814005
2010,D2,1,6.513893805309741
2010,D2,2,11.79616721854306
2010,D2,3 & 4,19.715685589519623
2010,D2,5+,18.93320512820514
2010,D3,1,7.883361204013372
2010,D3,2,12.326365441906663
